
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
"Architecture 101 - From Frank Gehry to Ziggurats, an Essential Guide to Building Styles and Materials","Nicole Bridge,",Adams Media,2015,english,EPUB, 6.23 MB
A Visual Dictionary of Architecture,"Francis D. Ching,",,1996,english,PDF, 27.48 MB
"Architectural Detailing: Function, Constructibility, Aesthetics","Edward Allen, Patrick Rand,",Wiley,2016,english,PDF, 104.31 MB
Japan Style: Architecture Interiors Design,"Geeta Mehta, Kimie Tada, Noboru Murata,",Tuttle Publishing,2005,english,PDF, 35.87 MB
50 Housing Floor Plans,"a+t research group,",a+t architecture publishers,2018,english,PDF, 18.52 MB
Interior Design Illustrated,"Francis D. K. Ching, Corky Binggeli,",Wiley,2017,english,PDF, 147.71 MB
Architecture in Detail II,"Graham Bizley,",Architectural Press,2010,english,PDF, 40.53 MB
"世界美术全集：建筑卷 - Completed Series of World Fine Arts, Vol. 3","樊文龙.扫描版,",光明日报出版社,,chinese,PDF, 43.63 MB
Houses For Small Spaces,"Emma Peacock, Jade de Souza, Corey Thomas, Gary Takle,",Think Publishing,2011,english,PDF, 99.28 MB
Designing Interiors,"Rosemary Kilmer, W. Otie Kilmer,",Wiley,2014,english,PDF, 43.15 MB
Architectural Graphics,"Francis D. K. Ching,",Wiley,2015,english,PDF, 72.07 MB
"Architecture: Form, Space, and Order","Francis D. K. Ching,",Wiley,2014,english,PDF, 56.58 MB
"Architecture Design Notebook, 2nd Edition","A. Peter Fawcett,",Architectural Press,2003,english,PDF, 5.02 MB
伟大的建筑: 图解世界文明的奇迹,"英国DK公司,",北京美术摄影出版社,2014,chinese,PDF, 141.57 MB
Graphic Design for Architects: A Manual for Visual Communication,"Karen Lewis,",Routledge,2015,english,PDF, 85.00 MB
Buildings Across Time: An Introduction to World Architecture,"Michael Fazio, Marian Moffett, Lawrence Wodehouse,",McGraw-Hill Education,2018,english,PDF, 292.03 MB
Design Drawing,"Francis D.K. Ching, Steven P. Juroszek,",Wiley,2019,english,PDF, 245.88 MB
"30-Second Architecture: The 50 Most Signicant Principles and Styles in Architecture, Each Explained in Half a Minute","Edward Denison,",The Ivy Press,2013,english,EPUB, 4.95 MB
Japanese Gardens,"Günter Nitschke,",Taschen,2002,english,PDF, 31.84 MB
Residential Landscape Architecture: Design Process for the Private Residence,"Norman K. Booth, James E. Hiss,",Prentice Hall,2011,english,PDF, 67.63 MB
Handbook Of Interior Lighting Design,"Rüdiger Ganslandt, Harald Hofmann,",ERCO Leuchten GmbH,1992,english,PDF, 4.24 MB
候场,"李诞,",上海文艺出版社,2020,chinese,EPUB, 121 KB
Fundamentals of Building Construction: Materials & Methods Fifth Edition,"Edward Allen, Joseph Iano,",Wiley,2008,english,PDF, 83.10 MB
Green Building Illustrated,"Francis D. K. Ching, Ian M. Shapiro,",Wiley,2014,english,PDF, 50.96 MB
A Global History of Architecture,"Francis D. K. Ching, Mark M. Jarzombek, Vikramaditya Prakash,",Wiley,2017,english,PDF, 152.95 MB
Residential Interior Design.  A Guide To Planning Spaces,"Maureen Mitton, Courtney Nystuen,",Wiley,2016,english,PDF, 36.30 MB
Daylighting: Natural Light in Architecture,"Derek Phillips,",Architectural Press,2004,english,PDF, 9.05 MB
Bioclimatic Housing: Innovative Designs for Warm Climates,"Richard Hyde (Editor),",Earthscan,2008,english,PDF, 18.00 MB
150 Best Cottage and Cabin Ideas,"Francesc Zamora Mola,",,,english,PDF, 106.53 MB
150 Best Sustainable House Ideas,"Francesc Zamora,",Harper Design,2014,english,EPUB, 92.15 MB
"Building Structures Illustrated: Patterns, Systems, and Design","Francis D. K. Ching,",Wiley,2013,english,PDF, 36.39 MB
100 More of the World's Best Houses,"Robyn Beaver,",Images Publishing Dist Ac,2006,english,PDF, 101.63 MB
Indian Art and Culture for Civil Services and other Competitive Examinations,"Nitin Singhania [Singhania, Nitin],",McGraw Hill Education (India) Private Limited,2019,english,PDF, 16.76 MB
"The Big Book of Small House Designs  75 Award-Winning Plans for Your Dream House, All 1,250 Square Feet or Less","Don Metz, Catherine Tredway, Kenneth R. Tremblay,",Black Dog & Leventhal Publishers,2004,english,PDF, 18.66 MB
Introduction to Architecture,"Francis D. K. Ching, James F. Eckler,",Wiley,2012,english,PDF, 216.77 MB
Architecture in Japan,"Philip Jodidio,",Taschen,2006,italian,PDF, 96.34 MB
150 Best Mini Interior Ideas,"Francesc Zamora Mola,",Harper Design,2014,english,EPUB, 340.37 MB
A Visual Dictionary of Architecture,"Francis D. K. Ching,",John Wiley & Sons,2012,english,PDF, 106.25 MB
Architecture in Detail,"Graham Bizley,",Architectural Press,2007,english,PDF, 29.87 MB
Architect's Drawings: A Selection of Sketches by World Famous Architects Through History,"Kendra Schank Smith,",Routledge,2005,english,PDF, 10.89 MB
A Living Architecture: Frank Lloyd Wright and Taliesin Architects,"John Rattenbury, Frank Lloyd Wright,",Pomegranate Communications,2000,english,PDF, 78.58 MB
Victorian Houses and their Details,"Helen C. Long,",Architectural Press,2002,english,PDF, 50.24 MB
建筑的故事,"帕特里克·狄龙 著, 斯蒂芬·比斯蒂 绘,",后浪丨北京联合出版公司,2020,chinese,PDF, 40.95 MB
Architectural Thought: The Design Process and the Expectant Eye,"Michael Brawne,",Architectural Press,2003,english,PDF, 8.85 MB
河蟹大帝胡锦涛,"余杰,",晨鐘書局,2012,chinese,PDF, 1.58 MB
Dense + green : innovative building types for sustainable urban architecture,"Thomas Schröpfer,",Birkhäuser,2016,english,PDF, 113.53 MB
天才基本法,"长洱 [长洱],",,2019,chinese,EPUB, 1.37 MB
"A Pattern Language: Towns, Buildings, Construction (Cess  Center for Environmental)","Christopher Alexander, Sara Ishikawa, Murray Silverstein,",Oxford University Press,1977,english,PDF, 42.85 MB
150 Best Eco House Ideas,"Marta Serrats,",Harper Collins,2011,english,EPUB, 111.51 MB
Time-Saver Standards for Landscape Architecture,"Charles W. Harris, Nicholas T. Dines,",MCGRAW-HILL EDUCATION - EUROPE,1998,english,PDF, 125.15 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
SITELESS: 1001 Building Forms,"Francois Blanciak,",MIT Press,2008,english,PDF, 6.66 MB
Manual of Section,"Paul Lewis, Marc Tsurumaki, David J. Lewis,",Princeton Architectural Press,2016,english,PDF, 620.30 MB
Architectural Structures,"Schierle G.G.,",University Of Southern California,2006,english,PDF, 8.66 MB
中国建筑常识,"林徽因,",北京理工大学出版社,2017,chinese,MOBI , 2.34 MB
Questions of Perception: Phenomenology of Architecture,"Steven Holl, Juhani Pallasmaa, Alberto Perez-Gomez,",William Stout,2007,english,PDF, 49.22 MB
History of interior design,"John Pile, Judith Gura,",Wiley,2013,english,PDF, 102.58 MB
佛教十三经：金刚经·心经,"赖永海,",中华书局,,,PDF, 5.03 MB
赘婿,"愤怒的香蕉,",阅文集团,2020,chinese,EPUB, 8.80 MB
Geometry of Design: Studies in Proportion and Composition,"Kimberly Elam,",Princeton Architectural Press,2001,english,PDF, 144.16 MB
The Urban Sketching Handbook: Architecture and Cityscapes: Tips and Techniques for Drawing on Location,"Gabriel Campanario,",Quarry Books,2014,english,PDF, 15.67 MB
101 Things I Learned in Architecture School,"Matthew Frederick,",The MIT Press,2007,english,PDF, 34.66 MB
Space Planning for Commercial and Residential Interiors,"Sam Kubba,",McGraw-Hill Professional,2003,english,PDF, 13.55 MB
剧变（第二版）（普利策奖得主《枪炮、病钢铁》作者新书，探讨危机应对的解决方案，帮助人类在危机后实现剧变和涅槃重生，刘瑜、比尔盖茨、尤瓦尔、史蒂芬平克鼎力推荐）,"贾雷德·戴蒙德,",中信出版集团,2022,chinese,EPUB, 6.05 MB
中国建筑史,"梁思成,",百花文艺出版社,2005,chinese,EPUB, 285 KB
"Understanding Architecture : Its Elements, History, and Meaning","Leland M. Roth, Amanda C. Roth Clark,",Routledge Westview Press,2018,english,PDF, 66.55 MB
中国人的精神,"辜鸿铭 [guhongming],",译林出版社,2012,chinese,EPUB, 220 KB
哥德尔、艾舍尔、巴赫——集异璧之大成,"〔美〕 侯世达,",商务印书馆,2016,chinese,PDF, 41.05 MB
"Frank Lloyd Wright, 1867-1959","Bruce Brooks Pfeiffer, Peter Gossel, Frank Lloyd Wright,",Taschen,2004,english,PDF, 100.16 MB
中国建筑常识,"林徽因,",北京理工大学出版社,2017,chinese,EPUB, 1.36 MB
中国古代建筑史【不全，缺大约一半，斟酌下载】,"刘敦桢,",中国建筑工业出版社,2008,chinese,PDF, 31.05 MB
Man-Made Wonders of the World,"DK Publishing (Dorling Kindersley),",DK Publishing (Dorling Kindersley),2019,english,PDF, 141.98 MB
150 Best Tiny Space Ideas,"Francesc Zamora,",Harper Design,2019,english,EPUB, 173.02 MB
丰乳肥臀,"莫言,",,,chinese,FB2 , 1.58 MB
园林景观设计：从概念到形式,"[美]格兰特·W.里德, 美国风景园林设计师协会, 陈建业, 赵寅,",中国建筑工业出版社,2004,chinese,PDF, 26.90 MB
网内人（获岛田庄司、王家卫盛赞，《周刊文春》2018年度推理小说&海外推理双冠军得主 理想国出品）,"陈浩基,",九州出版社,2019,chinese,EPUB, 993 KB
梁思成建筑画：中国著名建筑师画系,"赵虎,",天津科学技术出版社,1996,chinese,PDF, 27.31 MB
"Microshelters: 59 Creative Cabins, Tiny Houses, Tree Houses, and Other Small Structures","Derek ""Deek"" Diedricksen,","Storey Publishing, LLC",2015,english,EPUB, 33.21 MB
加西亚·马尔克斯作品集,"加西亚·马尔克斯,",,,chinese,MOBI , 11.34 MB
